frame,game_cnt,time,v,ey,ephi,s,reward,reward_component0,reward_component1,reward_component2
0,205,541.83,0.2545454545454546,-0.04460543631944129,-0.07350278017544154,7.703378705833963e-14,0.004524155931836513,0.0024959589044524478,0.0020281970273840644,0
12,205,541.91,0.14545454545454548,-0.10569522551121178,-0.07644867556212676,7.703378705833963e-14,0.008924801099380418,0.006719885667824809,0.0022049154315556094,0
24,205,541.98,0.14545454545454548,-0.15805869195334665,-0.07349718105185366,7.703378705833963e-14,0.012380789462305863,0.010175874030750254,0.0022049154315556094,0
36,205,542.06,0.1090909090909091,-0.20556635322013092,-0.04988349849007312,7.703378705833963e-14,0.014871915695113284,0.01337541074041109,0.0014965049547021934,0
48,205,542.14,0.4727272727272729,-0.30058653284169334,-0.0469484562083724,7.703378705833963e-14,0.02041526736455746,0.01900681367830629,0.001408453686251172,0
60,205,542.21,0.36363636363636376,-0.4712456845001188,-0.05282562791584544,7.703378705833963e-14,0.032046993347334664,0.030462224509859304,0.0015847688374753632,0
72,205,542.28,0.07272727272727274,-0.5430004678096082,-0.10597918815695406,7.703378705833963e-14,0.03875131241304557,0.03583803087543414,0.0029132815376114295,0
84,205,542.35,0.18181818181818185,-0.5856184370539925,-0.0941776412342854,7.703378705833963e-14,0.041397436974408564,0.03839500943492668,0.0030024275394818865,0
96,205,542.43,0.4363636363636364,-0.6708512709881606,0.012000539232764673,7.703378705833963e-14,0.043302021461733495,0.043573739642853555,-0.0002717181811200575,0
108,205,542.51,-1.261617073437678e-16,-0.7753699418771639,-0.011604639855187227,7.703378705833963e-14,0.05112880399049072,0.05104654619681071,8.225779368000729e-05,0
120,205,542.58,0.5454545454545456,-0.8568191284357375,-0.020561940433550863,7.703378705833963e-14,0.05653567686894348,0.05565420637759846,0.00088147049134502,0
132,205,542.66,1.454545454545455,-1.1359712300546938,-0.011757502605902914,7.703378705833963e-14,0.07302369963895808,0.07267097456078099,0.00035272507817708744,0
144,205,542.74,1.818181818181819,-1.672863083928609,0.028868093428922936,7.703378705833963e-14,0.10634792857327141,0.1072139713761391,-0.000866042802867688,0
156,205,542.81,1.6000000000000005,-2.2441834325806775,0.0607812811534858,7.703378705833963e-14,0.14361588661923808,0.14517803861718004,-0.0015621519979419672,0
168,205,542.89,1.454545454545455,2.7333373594919794,0.08112487182641992,7.703378705833963e-14,-0.18028158789286125,-0.17784784173806864,-0.0024337461547925977,0
180,205,542.96,1.1272727272727274,3.1654535692107517,0.10735029254517015,7.703378705833963e-14,-0.2100129187108205,-0.2068799756009787,-0.0031329431098417967,0
192,205,543.03,0.909090909090909,0.3590708341870051,0.2159606682582953,6.468711097034316,-0.029737906679976157,-0.02334686029319789,-0.0063910463867782675,0
204,205,543.11,1.090909090909091,0.4244753806366175,0.26865201386351956,6.468711097034316,-0.03543397478016791,-0.027549831353717663,-0.007884143426450246,0
216,205,543.18,2.6909090909090927,0.6050380210917532,0.35557946804296003,6.468711097034316,-0.04894398829899353,-0.038362841623559144,-0.010581146675434385,0
228,205,543.26,3.127272727272729,0.9301807798562683,0.3727526376125434,6.468711097034316,-0.070522091852531,-0.05942528304044548,-0.01109680881208551,0
240,205,543.33,3.2727272727272747,1.3027340293333458,0.38988075603503125,6.468711097034316,-0.09534684308757235,-0.0838216382248006,-0.011525204862771749,0
252,205,543.4,3.854545454545457,1.772145150794003,0.48874167059873486,6.468711097034316,-0.1283915242654161,-0.11389963686329851,-0.014491887402117598,0
264,205,543.49,4.03636363636364,2.374884623052259,0.4774317001007069,6.468711097034316,-0.16790544272692992,-0.15341271601589068,-0.01449272671103924,0
276,205,543.56,4.000000000000003,2.9756323644800546,0.5284184364281401,6.468711097034316,-0.2084241734323544,-0.1929114982177574,-0.015512675214596991,0
288,205,543.63,2.9818181818181837,3.6300075800245932,0.6419878610883227,13.087892729268077,-0.2553981716908057,-0.23631001851451455,-0.019088153176291166,0
300,205,543.7,2.1454545454545464,4.116256268303339,0.725576922341447,13.087892729268077,-0.2909345917884476,-0.2691672841182042,-0.02176730767024341,0
312,205,543.78,1.9272727272727281,4.551691285448634,0.7198053298710845,13.087892729268077,-0.3197696484039603,-0.29817548850782777,-0.021594159896132534,0
324,205,543.85,1.636363636363637,4.928815615335713,0.7372263961382071,13.087892729268077,-0.34527806717690707,-0.32333545209925857,-0.02194261507764852,0
336,205,543.92,1.9272727272727281,5.304918083071044,0.7691743414305263,13.087892729268077,-0.37092034465128004,-0.3477582690234791,-0.02316207562780091,0
348,205,544.0,2.836363636363638,5.7898497403652724,0.7315480435848294,13.087892729268077,-0.400751590957348,-0.3788912196294661,-0.021860371327881954,0
360,205,544.09,3.127272727272729,6.410674938079172,0.7563127548456106,13.087892729268077,-0.44210468017005167,-0.4194152975246834,-0.022689382645368315,0
372,205,544.1,3.163636363636366,6.467903538622943,0.7563127548456106,13.087892729268077,-90.44579392855859,-0.4231045459132253,-0.022689382645368315,0
384,206,544.14,0.0,0.0,-2.88198776558868,0.0,0,-0.4231045459132253,-0.022689382645368315,0
396,206,544.22,0.14545454545454548,-0.02327268938588779,-0.07941782827685495,7.102164244979957e-14,0.0037019177498679207,0.0014079985161153169,0.002293919233752604,0
408,206,544.33,0.7272727272727274,-0.1900563865425857,-0.05296782990584781,7.102164244979957e-14,0.013004851174014663,0.011327798703353039,0.001677052470661624,0
420,206,544.41,1.163636363636364,-0.5109792194941061,-0.029570166167352863,7.102164244979957e-14,0.03256420238561135,0.03167709740059076,0.0008871049850205858,0
432,206,544.51,1.2727272727272732,-0.9045469620856217,-0.017891013554021118,7.102164244979957e-14,0.05784593249992688,0.05739662964362632,0.0004493028563005552,0
444,206,544.58,1.2363636363636368,-1.2933690835358054,-0.014962662988178277,7.102164244979957e-14,0.08372296088042484,0.08318658443686801,0.0005363764435568408,0
456,206,544.65,1.163636363636364,-1.6762286694080888,0.011290611325081912,7.102164244979957e-14,0.10833307381580341,0.10858422648904256,-0.00025115267323915,0
468,206,544.73,0.9090909090909094,-2.047439483118819,0.011298689494545933,7.102164244979957e-14,0.13308839801379377,0.13333965447884705,-0.0002512564650532667,0
480,206,544.8,0.29090909090909095,-2.156002755544824,0.005409912616830326,7.102164244979957e-14,0.14183843095410134,0.14191225416356726,-7.382320946592635e-05,0
492,206,544.87,2.1090909090909102,-2.4844899612913243,0.11643173378022587,7.102164244979957e-14,0.15745990838251903,0.160605394174921,-0.0031454857924019916,0
504,206,544.94,2.3272727272727285,3.2181302155338014,0.1366385831663992,7.102164244979957e-14,-0.21248904078429237,-0.2083898832893004,-0.004099157494991976,0
516,206,545.02,2.5454545454545467,0.49338056519357365,0.21597277185766384,6.468711097034319,-0.0380959618049326,-0.03161677864920268,-0.0064791831557299145,0
528,206,545.09,2.5454545454545467,0.6735215062851616,0.24185349334820794,6.468711097034319,-0.05041377508634939,-0.04341701669358525,-0.006996758392764137,0
540,206,545.16,2.5818181818181833,0.8996289865849267,0.28787137948391806,6.468711097034319,-0.06672155909250939,-0.05808541770799185,-0.008636141384517541,0
552,206,545.23,1.9272727272727281,1.12974936035687,0.3570726797163051,6.468711097034319,-0.08409002204204082,-0.07337784165055167,-0.010712180391489152,0
564,206,545.31,2.0363636363636375,1.3743299853565794,0.41614610221271686,6.468711097034319,-0.10158685808377814,-0.0892759703809894,-0.012310887702788733,0
576,206,545.39,2.000000000000001,1.646338654308622,0.4421682938181948,6.468711097034319,-0.12031243482428731,-0.10713412946342368,-0.013178305360863635,0
588,206,545.47,2.000000000000001,1.9054156520816927,0.44215835211286647,6.468711097034319,-0.13764875298296203,-0.12429715703469092,-0.013351595948271107,0
600,206,545.54,3.2727272727272747,2.2863717459348356,0.49093945180977716,6.468711097034319,-0.16294331344380084,-0.14821512988950752,-0.014728183554293315,0
612,206,545.61,3.163636363636366,2.7725349955701684,0.4966522269476643,6.468711097034319,-0.19520331350158018,-0.18030374669315025,-0.014899566808429928,0
624,206,545.68,3.563636363636366,3.2884719451279003,0.6023068146897532,13.08789272926808,-0.23123699009166349,-0.21368071612193018,-0.017556273969733298,0
636,206,545.76,3.9636363636363665,4.047036363062604,0.7160238414251714,13.08789272926808,-0.2840061373882012,-0.26252542214544605,-0.02148071524275514,0
648,206,545.83,4.218181818181821,4.916386388069688,0.7640641372606614,13.08789272926808,-0.3419888633918472,-0.31940603761585656,-0.022582825775990623,0
660,206,545.9,4.145454545454548,5.902363882555598,0.8765298362709439,13.08789272926808,-0.4094889715560518,-0.38393723561503296,-0.025551735941018856,0
672,207,546.02,0.18181818181818185,-0.01260605344679809,-0.07055626587782804,7.102164244979957e-14,0.002692687542005454,0.000575999565670613,0.002116687976334841,0
684,207,546.09,0.14545454545454548,-0.07466638060715962,-0.05875617810300682,7.102164244979957e-14,0.006459183381021532,0.004607988549862776,0.0018511948311587556,0
696,207,546.17,0.5454545454545455,-0.14254436246753968,-0.07056244763785191,7.102164244979957e-14,0.0105648051708812,0.008447931741745643,0.0021168734291355574,0
708,207,549.73,2.145454545454546,-0.48473612202227456,-0.0005744411861496879,7.102164244979957e-14,0.02896771557955593,0.028603016122966653,0.0003646994565892747,0
720,207,549.84,2.6909090909090914,1.342914649825214,0.019661380095425507,7.102164244979957e-14,-0.0845094555429536,-0.08383351073519307,-0.0006759448077605201,0
732,207,549.92,2.8000000000000007,2.2301419363902397,0.0024482127050893254,7.102164244979957e-14,-0.14233484010733638,-0.1422613937261837,-7.344638115267976e-05,0
744,207,549.99,3.272727272727274,-3.1630200211317354,-0.08634863955237515,7.102164244979957e-14,0.2056262827437236,0.20320723992721154,0.002419042816512076,0
756,207,550.07,3.927272727272729,0.19923400987600917,-0.044022149836284274,6.468711097034309,-0.012256645818151104,-0.013407078394106008,0.0011504325759549028,0
768,207,550.14,4.254545454545457,0.1164439947907613,-0.06665245050440305,6.468711097034309,-0.006244016411679935,-0.008158836001884,0.0019148195902040665,0
780,207,550.22,4.400000000000002,0.040176768923081224,-0.04153499620310619,6.468711097034309,-0.0017245139240197411,-0.0029705638101129267,0.0012460498860931855,0
792,207,550.29,4.000000000000002,-0.021847481908842635,-0.035864236084015566,6.468711097034309,0.0022631359699335214,0.0011872088874130544,0.001075927082520467,0
804,207,550.37,3.5636363636363653,-0.05688748507200109,-0.016001245751488646,6.468711097034309,0.004134255856574357,0.0036542184840296977,0.0004800373725446594,0
816,207,550.44,3.200000000000001,-0.06512500036809409,-0.0017656436401289888,13.08789272926807,0.004411185665140271,0.004272512348355532,0.0001386733167847387,0
828,207,550.52,3.0909090909090917,-0.034738120806721284,0.04962783945675753,13.08789272926807,0.0011469458198049274,0.002550043854392534,-0.0014030980345876064,0
840,207,550.6,2.763636363636364,0.014611460812670505,0.06395782064530797,13.08789272926807,-0.0025722122415131263,-0.0006534776221538873,-0.001918734619359239,0
852,207,550.67,2.4363636363636365,0.0871597303176401,0.10881585248626724,13.08789272926807,-0.008551335686286014,-0.005286860111697996,-0.003264475574588017,0
