,episode_rewards,episode_lengths
0,-186.4863878359498,30
1,-179.55294412884652,38
2,-185.80809285170176,22
3,-194.87053998349361,21
4,-194.8303487675966,21
5,-195.14903222615425,20
6,-194.54360580277068,20
7,-194.49504440336224,20
8,-194.7822235885993,19
9,-194.6432675494876,19
10,-194.74361227900218,19
11,-194.68695521321982,20
12,-194.78853213349197,20
13,-194.69262914745613,19
14,-193.63002674924667,17
15,-194.72592161851324,21
16,-194.23716368455803,18
17,-194.37418755964416,18
18,-194.90461264525257,19
19,-194.65298240089763,20
20,-194.79562307736563,19
21,-194.81347805515043,19
22,-194.79915456565385,19
23,-194.595513179877,19
24,-194.73817599789595,19
25,-186.0715033765054,23
26,-194.29625624606712,18
27,-194.85249528452889,19
28,-195.18648403832938,19
29,-194.62390029995572,19
30,-185.83701055579016,21
31,-186.2305339537526,22
32,-194.7575498961686,19
33,-194.86922579912994,19
34,-194.64669751784888,19
35,-185.7741337113398,21
36,-194.59559248517147,19
37,-194.6779209664082,19
38,-194.566405089401,19
39,-195.0377518768665,21
40,-195.00379297033405,19
41,-194.61963717334893,19
42,-194.636927396443,19
43,-194.58696296887567,21
44,-194.2403296999312,19
45,-194.76130425467343,19
46,-194.69435336997287,19
47,-168.19965709664496,31
48,-185.70532764804096,21
49,-194.7284471232157,19
50,-194.52499573091725,19
51,-194.85304850195442,19
52,-185.8704173010373,21
53,-203.96089097668226,19
54,-194.81199006426272,20
55,-194.9011635556485,19
56,-194.9839074130502,19
57,-194.31409980891334,20
58,-195.1184993093038,20
59,-194.50319493105712,19
60,-195.61160804929827,21
61,-185.6916615304279,21
62,-195.2944331650067,22
63,-194.49132245944685,19
64,-195.1259042597772,20
65,-194.58710754161925,20
66,-194.8256481804775,19
67,-194.76383486922748,19
68,-194.6421145775865,19
69,-185.25631820509085,20
70,-194.48016959593136,19
71,-194.867393427259,19
72,-185.7990843553801,22
73,-194.82720228737352,19
74,-194.69909121558078,19
75,-195.08137057241777,19
76,-194.32281846166273,19
77,-194.69361624694554,20
78,-193.6559693300867,17
79,-185.91562694120972,22
80,-194.46191417077415,19
81,-195.74031531740982,22
82,-194.4777735140612,21
83,-195.0915737327371,19
84,-194.51623849197165,19
85,-195.19996972517657,19
86,-194.79228550930725,22
87,-194.63005540416387,19
88,-195.04332774026142,21
89,-194.7305501256857,19
90,-194.78537637358104,19
91,-194.93379252368345,21
92,-194.40715939908736,19
93,-195.42702660702847,19
94,-194.88331103090172,19
