episode,avg_reward,avg_v,episode_time,distance_traveled
1,-47.46643942313307,0.91886497,1.628,1.1418534e-13
2,-11.796832191822238,2.5216863,1.747,2.542115e-13
3,-36.774327798445626,0.8924073,1.849,6.3948846e-14
4,-19.797728747427463,2.0227125,1.997,1.5106346e-13
5,-13.876033810890489,2.0829298,2.069,1.1368684e-13
6,-9.684501595953094,2.355293,2.117,6.323704
7,-43.79523732306994,1.3275084,2.271,7.505156
8,0.617645326223716,3.355081,2.322,3.4576503e-13
9,0.22028316458788202,2.149082,2.381,6.4499846
10,-16.123273183707663,2.701956,2.548,4.715588
11,0.8080604455511972,5.2421165,2.622,5.7325273
12,0.5233065945287315,2.4210732,2.68,5.8342304
13,-7.097020105191264,3.1558995,2.733,1.2141759e-13
14,-9.130471592580985,5.456473,2.951,5.684342e-14
15,-9.699251213316433,2.378375,2.996,6.1411996
16,0.4460063436759723,2.1120696,3.05,5.924039
17,-4.459282151813155,3.1046355,3.117,2.2737368e-13
18,0.41331801156518466,2.7018414,3.251,2.4283518e-13
19,-9.559609690425674,3.0536704,3.294,3.4282107
20,-15.028934674586603,1.767302,3.343,1.4210855e-13
21,0.19285185800658805,1.9285185,3.488,1.1368684e-13
22,0.5230211826858612,3.4604526,3.548,5.6381187
23,0.47926927664957375,2.9343767,3.599,1.2710575e-13
24,0.5776406723442364,4.2462378,3.742,4.939991
25,-4.687026353680267,6.909708,3.811,7.2289515
26,-7.166490134248827,1.8264463,3.894,2.2914315e-13
27,0.41955978999882915,3.4569879,3.96,1.1718571e-13
28,0.38071697764737433,2.7283,4.096,1.6077747e-13
29,-7.400831604869883,1.8123847,4.138,1.1368684e-13
30,0.8933138652742248,6.390374,4.254,1.6077747e-13
31,-16.262240130090934,2.8102238,4.403,2.6812987e-13
32,0.5810098226816384,2.7127345,4.457,2.0495186e-13
33,0.43941071125313047,3.5623007,4.506,1.4210855e-13
34,0.44977184758238575,4.078776,4.551,1.6077747e-13
35,-12.205070619792208,2.557199,4.672,5.684342e-14
36,0.47094794046596156,3.3795156,4.71,7.3606467
37,0.9694734991732764,5.183723,4.796,1.6077747e-13
38,0.7890189770306624,5.2041755,4.971,1.7763568e-13
39,1.3498352839384995,9.368638,5.084,1.1368684e-13
40,-9.423801042871755,4.058906,5.131,6.4330754
41,-12.085093366448739,2.7820377,5.173,1.6077747e-13
42,0.8516147681154882,6.3389854,5.356,1.2710575e-13
43,0.47103398653556566,3.6345012,5.418,1.7053026e-13
44,0.6237573699464184,3.7632723,5.47,9.068425
45,0.5852166806919707,3.3333333,5.607,1.1457157e-13
