episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,-2.4519322111266453,1.3046063,1.504,6.99817,23.229094824527383,17.162982752790757,"[-6.4582452e-02  2.1398899e+01  3.0706244e+01  5.3685982e+01
  7.4595802e+01  7.7642998e+01  4.1115269e+01  2.5963829e+01
  2.4961445e+01]",69.79496791327105
2,-0.9093294879689066,1.108707,1.589,12.61034,27.62455952352518,12.476437416046892,"[-0.21716377 73.00828    58.156837   30.266138   24.214651   21.894363
 12.989157   19.069717   12.138022  ]",21.364115064344826
3,-2.136382351101932,0.8048603,1.709,-11.72333,29.00018473177716,11.311994157062852,"[2.2360308e-02 1.1355978e+02 7.3400650e+01 4.4915661e+01 2.9989126e+01
 1.9046255e+01 1.6985418e+01 2.1419964e+01 1.3995730e+01]",15.04573373458226
4,-2.63006742516001,2.0667806,1.931,2.4863389,18.663072357571117,21.639170106809516,"[-3.7608728e-02  3.7735355e+01  3.4925041e+01  6.8513710e+01
  1.1837222e+02  8.1756828e+01  5.7337399e+01  6.4110519e+01
  4.5111053e+01]",25.48528920864722
5,-1.4161820230773454,3.6404076,2.017,-9.93542,19.30239475852923,20.85633275537623,"[ -0.15120539  22.606897    33.356014    70.639755   112.98144
 126.61964     77.20612     53.294495    43.18523   ]",19.002286568126507
6,-0.8261423192714091,1.6294744,2.07,-4.7068315,24.856793096469705,15.253353427576913,"[-0.8069572 49.931126  48.735558  33.07367   32.574905  53.099873
 24.912056  19.028034  17.04392  ]",44.67054762138769
7,-0.0548295680603971,2.2189665,2.125,9.420631,24.772528747985486,15.602995108124441,"[ 0.09293678 52.422165   81.456215   58.66937    76.91694    65.68781
 24.141237   18.304815   17.064653  ]",12.205223740506653
8,-0.08800282969044493,1.9046446,2.292,8.73744,27.559051400077536,12.711567161389345,"[  0.20305346  51.77103     87.45219    102.58847     95.39298
  50.144775    18.24366     14.160813    13.109036  ]",31.287811173551138
9,-0.8041584011384187,2.5163605,2.396,8.3542185,28.279921142166643,12.006347387307606,"[ 0.21710777 68.678215   77.86331    85.11247    66.63598    25.914806
 16.070131   13.215274   12.646112  ]",17.275941712880083
10,-2.9821297488925707,0.7249036,2.526,7.92393,28.357917021175595,11.87742254318942,"[-2.9922415e-02  7.3457321e+01  6.9106194e+01  3.9904877e+01
  2.6274757e+01  1.8015270e+01  1.3822200e+01  1.3639255e+01
  1.7874626e+01]",18.739612734807032
11,0.2388640277263183,2.627861,2.652,7.105578,13.56968614385012,26.631026763625584,"[ 0.25074407 14.569534   16.349566   20.9876     32.39775    54.780373
 78.98622    71.502      51.857605  ]",131.73945274484342
12,-0.6879780714967477,3.7888465,2.723,-7.350239,28.952043633569936,11.136135956186784,"[  0.5130373  37.654816   51.325027   72.56224   102.58374    66.29795
  23.570303   26.681694   12.387218 ]",21.267505688262816
13,-0.05354856711369225,2.3565955,2.76,-1.1496636,15.148794540419564,25.00179412345405,"[ 0.22239149 16.467892   18.098604   23.214092   38.381893   65.002884
 51.071598   79.40782    71.53039   ]",139.4945361739109
14,-2.4912709724662947,2.327337,2.904,-6.889425,25.410732112853726,14.697410899403843,"[9.0274967e-02 5.2123856e+01 8.4136345e+01 1.0150433e+02 8.8937210e+01
 4.5742184e+01 2.3700191e+01 1.7574003e+01 1.5706696e+01]",16.753978407048667
15,-0.051740584211549444,2.9028184,2.939,6.8119893,14.183357648991263,26.06540212332398,"[-8.3370388e-02  1.6417881e+01  1.9926870e+01  3.5846989e+01
  8.3743591e+01  8.1946228e+01  5.0509277e+01  8.9951591e+01
  1.3838994e+02]",28.48283614413445
16,0.01135746488293872,4.661362,2.992,0.07590459,20.17357084932539,20.177878373417492,"[7.4314170e-02 3.0037687e+01 6.1771252e+01 1.0135115e+02 7.6137611e+01
 6.8170219e+01 5.1566811e+01 8.3225502e+01 4.0414642e+01]",34.37529371004036
17,-0.9878310614485453,3.0039487,3.033,6.598482,25.069059227388127,14.999344520864465,"[  0.2244423  46.6949    107.68092   125.06893   169.00987    54.37978
  24.712637   17.400913   13.307733 ]",26.439849494238945
18,0.6212668846050203,6.6671023,3.179,2.4530332,21.2600167033258,19.023189319886484,"[-5.25165349e-02  2.58116589e+01  3.48388290e+01  5.65644531e+01
  1.01521194e+02  1.18676346e+02  5.26264610e+01  3.22207603e+01
  2.41366940e+01]",15.589457358834427
19,-0.06202939612711364,2.19837,3.215,-6.22665,15.919010694912943,23.271079112168614,"[  0.13853292  14.944747    17.778057    20.105328    26.480675
  47.178566    63.97788     93.2265     106.82777   ]",38.246233960335275
20,0.9604989715800855,6.5126987,3.297,4.470293,12.951003369408992,25.34671904432282,"[  0.2668258  14.343644   17.281366   24.581028   45.00579    92.91151
 112.69284   102.04056    73.51065  ]",17.006253783456586
21,0.26880994581593715,3.9886825,3.346,-5.9826503,28.283264497431617,11.908470706524644,"[  0.20658255  46.823643    70.72694     81.51022    101.19824
  36.88931     21.084833    15.131564    13.12596   ]",36.08547893297142
22,0.07290296470038946,2.2844815,3.474,5.7636886,15.910580063570489,22.60081398353157,"[-0.076392 17.788334 21.19616  39.99756  64.77009  63.32229  72.82204
 66.59886  50.52793 ]",118.15704291499583
23,0.029189311307808313,2.9935408,3.521,-5.685048,27.359874584563833,10.734380162902191,"[-0.25342992 87.08517    51.8279     38.613605   29.56337    29.22316
 22.110134   13.456905   14.002422  ]",21.237145845246783
24,0.279136653147853,3.4545574,3.567,-2.100566,21.69327956184272,18.49294092658358,"[-0.8876543 35.363216  39.627274  47.22256   55.464554  85.989075
 38.762604  27.854116  22.27285  ]",63.29318075608543
25,-0.48424737231246917,5.5360007,3.725,-0.31542015,22.312706264036066,17.847790056267296,"[  0.16210142  28.458519    49.265614    68.6734      97.45845
 135.9875     111.16757     28.470455    39.92514   ]",159.86645101507838
26,0.056566512910630876,7.05719,3.8,1.9033656,18.790812526433104,21.375562282130506,"[  0.28349218  21.886692    26.640074    39.8333      74.195274
  81.724144    79.82104    107.91421     41.961372  ]",16.091206092759723
27,0.09247316596154369,9.666429,3.945,-0.47468665,24.864374158067573,15.421292186504656,"[3.2724902e-02 3.2909008e+01 5.4863926e+01 8.4474510e+01 1.4065005e+02
 8.7703827e+01 6.6481651e+01 3.4466930e+01 1.9980633e+01]",15.865002079983695
28,0.02646967538521817,5.6141014,4.083,2.4263399,20.831671604858997,19.28170587582082,"[  0.44504848  24.651203    29.68112     40.26632     64.99873
  80.55614    105.002205    71.45723     67.730835  ]",14.677101909031578
29,-0.015025228192486719,4.4467363,4.128,-4.8473096,26.68681548230746,13.778700996749844,"[8.5397407e-02 4.3930519e+01 7.3251236e+01 1.1515413e+02 5.7452492e+01
 4.0706047e+01 3.6678398e+01 2.3464886e+01 1.5681340e+01]",17.410028082894552
30,0.7872413082193388,6.7448153,4.188,-4.7801147,16.063268203471434,24.15463229108526,"[-0.25037098 18.839323   28.363579   39.206814   65.95334    61.95897
 81.26476    62.481903   33.78427   ]",17.2047604828359
31,0.153027483994812,2.9773364,4.229,2.1971931,14.224155449160435,25.987898714142638,"[-7.17373332e-04  1.51909943e+01  1.71111336e+01  2.30432701e+01
  4.41727333e+01  6.34430122e+01  9.02571640e+01  1.25112076e+02
  6.75461349e+01]",10.601352019658462
32,0.03549060415446987,7.156497,4.392,-4.5558085,23.515237443663008,16.745942366633507,"[-7.0910424e-02  3.0147173e+01  4.4630947e+01  7.9805511e+01
  9.4216644e+01  7.1605476e+01  5.7813602e+01  4.7680355e+01
  2.6575195e+01]",17.059585103264673
33,-0.9207934489679023,2.375129,4.437,-2.1793535,14.452679742872093,25.591764643832338,"[-1.1734847 15.428209  29.583796  20.317638  69.541374  97.35454
 83.25079   45.82435   37.17292  ]",15.298479527462474
34,-0.05056975488762973,2.5299292,4.471,3.3774018,13.897270860868012,26.467317206869897,"[ 0.11015903 13.603561   17.284163   26.423584   44.693665   35.057503
 35.66931    66.192604   55.38873   ]",50.60784974271939
35,0.8338027116649267,6.4492326,4.638,1.1539195,15.49534717053602,24.886181983098112,"[-0.29401648 16.7678     44.3403     47.02517    76.85737    90.410866
 66.17241    42.233654   31.581934  ]",16.965527878775198
36,1.4592203534126218,7.898037,4.72,-4.239983,18.66978549225697,21.464698446186908,"[ -0.28242448  23.476921    79.19757    103.07099    117.39295
  79.94193     69.75212     34.604652    43.759422  ]",16.850891182571907
37,1.7498558891280718,8.291549,4.801,-4.1684036,13.131515217679278,27.085551073649267,"[9.2227153e-02 1.5073288e+01 2.4424591e+01 4.5275402e+01 8.8238007e+01
 9.7244392e+01 8.4113365e+01 4.7154911e+01 4.0275822e+01]",165.37303091399633
38,0.07580914758057172,7.7756934,4.98,-2.486493,17.138800537849576,22.99181470172405,"[-8.41570869e-02  2.76683826e+01  3.34546661e+01  8.83370895e+01
  1.06255684e+02  1.46337509e+02  6.17684975e+01  3.63709183e+01
  2.76912098e+01]",21.54076862019727
39,-0.02584296845382851,5.666868,5.046,-0.60840434,10.684831374566023,29.611582386150847,"[ -0.33343607  11.482495    13.532101    37.83767     86.19672
 112.163216    76.179565    52.16774     39.622787  ]",17.223930714418778
40,-0.013722122802885525,3.6186335,5.106,-3.9184954,15.384334788479148,24.850049130035938,"[5.8598414e-02 1.6520214e+01 1.9715315e+01 2.9825191e+01 7.1555489e+01
 1.0551267e+02 1.0492819e+02 7.4933350e+01 5.3299736e+01]",31.230355936787635
41,-0.736469921320565,1.8085797,5.15,-1.2517059,15.602257408358707,23.44711431215149,"[  0.4600454  16.41871    17.252737   20.15785    28.682655   47.630207
  36.663124   53.26327   125.964035 ]",15.883131316690251
42,0.06311310090320502,2.321253,5.27,-0.1537974,14.391387218081126,25.84020316819491,"[3.5121374e-02 1.6112560e+01 1.6803539e+01 2.2317856e+01 5.2548401e+01
 3.5220177e+01 4.5105396e+01 5.8885460e+01 9.6276573e+01]",22.316998619310393
43,0.9269386099288911,8.028512,5.338,3.748126,14.82071581008747,25.423621326003957,"[-7.68169910e-02  1.73701820e+01  2.31252804e+01  6.57674332e+01
  1.92008118e+02  1.22878845e+02  8.64252472e+01  5.51569481e+01
  3.31745949e+01]",23.328314738312
44,0.21983365558295007,3.7865174,5.38,-2.647782,25.58733302638944,14.608419017662099,"[1.0669692e-01 4.5006405e+01 1.0370630e+02 9.1567406e+01 1.0923199e+02
 9.3074921e+01 2.5598116e+01 1.7074110e+01 1.5979720e+01]",25.2971747878361
45,1.8721649104186449,7.970633,5.465,-1.0683945,10.358197219491714,29.643932021603494,"[-0.20805466 11.789385   18.893541   42.644302   68.432945   70.54218
 62.025234   54.288776   42.64365   ]",91.81347072628006
46,0.005154321320422288,5.234145,5.622,3.558719,14.172825383139802,24.642224547065414,"[-1.2836178e-02  1.8225519e+01  2.5012386e+01  4.5591965e+01
  9.7670502e+01  1.1118578e+02  7.1358582e+01  4.7506886e+01
  3.6439888e+01]",101.6911956369708
47,0.6664635438697548,5.917176,5.681,3.5217469,24.28691113542221,15.893665878929925,"[1.22043766e-01 3.23048935e+01 4.31437759e+01 8.77178650e+01
 1.50759140e+02 1.15653755e+02 4.21357460e+01 2.18832111e+01
 1.75483074e+01]",17.501400059652962
48,1.6470720503886072,8.450198,5.746,-2.7321775,19.52340432804296,20.61587065482907,"[-5.8625247e-02  5.5538177e+01  4.7879295e+01  5.6765270e+01
  8.8077660e+01  1.3305740e+02  9.0698753e+01  4.3072578e+01
  2.5900698e+01]",31.543721022627903
49,2.9766898057689875,9.055922,5.969,3.35233,19.65085653347034,20.538453790554424,"[-6.0986843e-02  2.6086100e+01  4.0571400e+01  8.4322937e+01
  1.1028197e+02  9.6758675e+01  6.3920124e+01  3.1053804e+01
  2.4385275e+01]",79.79663978003629
50,1.5029976503472613,7.9457917,6.048,1.4519373,21.034802497695033,19.198803252193628,"[  0.40561938  24.200975    27.834108    40.555946    61.905697
  85.687325   101.9898      54.83013     30.656834  ]",15.407283468364477
