,episode_rewards,episode_lengths
0,-174.95962204849445,91
1,-141.02898411479433,202
2,-115.3980163501261,192
3,-189.57280171050243,65
4,-164.97809263750568,95
5,-181.93638356415158,80
6,-158.97704206685626,126
7,-115.86499668135261,219
8,-155.3832369617792,101
9,-145.3711104425427,164
10,-171.26348505539684,75
11,148.96014015375079,716
12,-143.86507218587727,153
13,-156.38626539175684,106
14,-180.4654080614647,73
15,-173.4808717079883,82
16,-153.0270808593944,90
17,-162.67605411014895,81
18,-183.94623689454156,130
19,-161.97743634688956,87
20,97.82612685768424,1002
21,-155.46096317891326,101
22,-92.9461797066678,293
23,-183.02350527640564,84
24,-169.3791604243641,69
25,-157.4897573920008,116
26,-118.50626171761725,240
27,-178.0596047939229,63
28,-158.48857311303058,120
29,-136.6634866030779,252
30,-91.95812894406751,339
31,-147.57525785173857,167
32,-151.1598539791903,150
33,-167.29730515853998,212
34,-165.31167900226248,96
35,-164.13622666204495,94
36,-104.24924006509893,224
37,-150.99695542075472,137
38,-170.92248943813857,124
39,-163.5279768824352,138
40,-23.262592831736328,383
41,-110.42849155126505,282
42,-86.70435054509966,530
43,-183.43320855247825,88
44,-0.6083389072686884,871
45,-163.473413297715,92
46,-152.10867204779703,85
47,-43.48282790718349,352
48,-169.37684355428607,63
49,-144.82589575287176,207
50,-160.50035683573105,176
51,-190.70216495240575,66
52,94.79334594083576,580
53,-140.1153698973943,265
54,-175.03599637067228,102
55,-88.07745935613168,290
56,-117.03581694704653,258
57,-40.237317926979074,343
58,-165.6533131030793,103
59,-178.5587054903272,82
60,-164.08783367296573,171
61,-96.7754939789361,262
62,-174.76933330445274,123
63,-148.9348349631378,181
64,-158.05057909040815,58
65,-74.03520429186274,331
66,-187.46271729692876,97
67,-6.302491523506063,449
68,-131.10278238675966,165
69,-170.99826263785002,72
70,-162.54425385286,84
71,-36.672300246161456,476
72,-171.3640026422068,63
73,-170.82120081831255,215
74,-62.48237586796759,616
75,-185.93098249019258,25
76,-170.43915657574797,130
77,-89.65530482504545,458
78,-171.18156304669128,78
79,-76.26362616760922,332
80,-188.08924178623317,37
81,-148.39073557396873,207
82,-175.94346851575392,93
83,-106.37265966818826,200
84,-108.54820948964473,392
85,-191.3544361241738,39
86,-128.78143978484366,237
87,-162.72920472031794,135
88,-104.38021047548574,252
89,-178.19281427399636,68
90,-178.5140543453504,102
91,-168.27748486549646,110
92,-190.79133750808072,35
93,-189.5423590767179,35
94,-33.100627783731625,323
95,-188.53598331185933,82
96,-171.27536158421668,139
97,-188.21364883922195,56
98,-107.77725291151953,311
99,-62.359507516371224,277
100,-183.0235912669952,82
101,-167.10404680484402,114
102,-172.71096562987537,87
103,-87.83048240826032,359
104,-181.7003879289944,70
105,-88.67547557062836,498
106,-159.77733387994985,111
107,-190.92281915571795,49
108,-51.633457899886196,339
109,-178.22037492620117,164
110,-137.91828063647222,372
111,-196.67130676947434,24
112,-182.4362329368722,39
113,-198.12053408044187,50
114,-186.6665885745684,26
115,-195.69065985883256,21
116,-126.59851212898086,214
117,-190.94181888494876,53
118,-194.33312796254975,19
119,-196.08602756169026,24
120,-186.32822469349756,22
121,-195.12518375056484,22
122,-156.48258822953306,204
123,-188.85683385940973,53
124,-197.12393721557623,26
125,-175.3639026858261,178
126,-174.4093694001101,117
127,-128.83329470298855,246
128,-176.26451153819914,103
129,-174.17000349419584,65
130,-116.37241329308418,213
131,-11.859125587117234,712
132,5.534323545542804,436
133,-181.8168212651009,83
134,-125.86074142461399,293
135,-172.94923650848804,50
136,-163.67417169672473,80
137,-168.17440214891843,95
138,-148.0686502719371,98
139,-184.1206467690824,48
140,-197.73168227540106,27
141,-127.61654897577851,193
142,-176.17091150099975,61
143,-194.9127944283387,20
144,-68.16882199862363,396
145,-172.24169410357226,72
146,-163.03907509343327,81
147,-160.82418734429592,157
148,-100.2728726502085,273
149,-102.22087201381112,435
150,-115.53648458279964,483
151,-154.8084802630142,90
152,-185.60298686556166,173
153,-195.63512648413672,21
154,-186.67893885547187,26
155,-98.39630624366983,270
156,-178.594296376322,76
157,-83.54954559551237,355
158,-136.0791903456306,243
159,-188.77576920262726,29
160,-0.9105611566544667,459
161,-93.51180591067164,334
162,-118.73626622051106,206
163,-181.81876995402962,106
164,-125.42980027656616,369
165,-179.4850158490375,65
166,-95.89681230291426,488
167,-189.92437060910103,59
168,-105.15421806238015,274
169,-182.76553940964016,81
170,-76.48230911495163,363
171,-11.490254437692897,401
172,125.06945382215537,1441
173,-194.78800540150655,19
174,-166.8676469341385,213
175,-112.45173075994184,290
176,-19.658556573484958,391
177,-93.84257090351343,264
178,-128.80612615459842,171
179,-187.40845814482503,27
180,-99.57770796607667,314
181,-39.54864441285886,610
182,-128.29899207354268,221
183,125.63001046510158,1065
184,-130.81152137097942,287
185,-125.09445297385759,114
186,-174.50395420111394,51
187,-131.0935469802398,187
188,-178.1550650134972,59
189,-158.28842120989935,112
190,-140.51889598757947,184
191,-145.97662249127524,213
192,-148.68241990866017,164
193,-185.1033371673676,54
194,-73.02941931169727,286
195,-173.27109989408308,80
196,-164.14669332034265,98
197,205.60862618316088,885
198,-155.47276668167916,656
199,20.85734836588051,643
200,-180.0834951466067,69
201,-78.26567887724443,244
202,-101.78685839793323,286
203,-178.3184705028575,62
204,-121.04759754845286,254
205,277.8769430851027,1340
206,-96.55186844717798,525
207,-73.08165042750572,289
208,-146.4271045182718,163
209,-138.07698427214447,178
210,-183.01663312190794,43
211,29.186806054905276,1745
212,-115.87769446214702,313
213,-171.4796247065757,71
214,-161.2657101522708,130
215,-119.0676418188013,241
216,-170.5682005506212,95
217,-119.91363447835985,228
218,-155.53896916442923,206
219,-171.22161102215347,83
220,-134.2919829281713,166
221,-136.77924708469436,178
222,-118.36140685068025,260
223,-111.27478879650191,350
224,-61.19027171715052,354
225,-139.4184591161829,174
226,-132.40695128987528,290
227,-121.63554929151995,215
228,-33.54966144551619,368
229,-145.8887986756245,130
230,-148.30396555506843,120
231,-117.993660378199,217
232,-181.79433130620774,54
233,-104.17231458811654,387
234,-111.3411414839512,287
235,-32.93324429604985,336
236,-70.22787287500935,325
237,-171.82121207567832,142
238,-44.57334144287603,344
239,-125.27190190949509,228
240,122.41591570018517,834
241,-195.3397670662443,20
242,-54.32299913764757,325
243,-29.848890703763686,560
244,-136.73525829260808,153
245,-194.78162209064462,19
246,-90.3873874104113,280
247,-189.40810952827962,32
248,167.53257347581456,941
249,-120.76777066108552,291
250,-170.39752252988652,75
251,-139.3302397762807,209
252,-138.9659419346218,171
253,60.957153344451285,833
254,-40.219620457767746,404
255,-106.16198554577518,246
256,-124.7320162895834,193
257,-106.75004122967611,255
258,-80.92908396337904,276
259,-81.43148583221387,490
260,-175.58015506113568,72
261,-41.32275931156286,417
262,59.26468120893935,1014
263,-129.22356875334788,334
264,-186.09253844855212,27
265,-128.2377456454035,198
266,-100.85617542341691,285
267,-184.42459484315805,16
268,-51.641121010861696,707
269,-77.83381265134906,286
270,43.21020062620974,708
271,-101.70008826011292,228
272,-79.6747713275517,471
273,-179.53591721325213,42
274,-152.7542358550166,92
275,-174.51586094794294,48
276,-160.49565353032006,90
277,-176.8366937420274,79
278,-115.17257173615177,262
279,-3.8630556106356266,446
280,-123.94159299578571,266
281,-55.762044524978734,372
282,-18.765135350568244,1009
283,141.22967341459633,1432
284,174.3942352162814,884
285,66.98876808185605,856
286,182.79485031535307,3087
287,-53.36469642696866,356
288,-124.074013004589,242
289,-170.835073987313,87
290,-162.33402993033354,100
291,-156.58131204812443,97
292,19.750297605026475,1070
293,-67.85292083497546,583
294,129.07087294645908,602
295,-161.54239495143887,178
296,-183.04266486151295,47
297,-145.59307172741444,209
298,57.93098529926476,784
299,-119.48644975520637,476
300,-148.56718246433826,319
301,582.5198242771812,2746
302,30.251383351231993,484
303,-43.72973146108623,431
304,26.40239734181506,541
305,42.99113156065545,505
306,-177.31708334189776,78
307,-180.42023946434927,42
308,92.94116930443062,689
309,-7.693638131795922,395
310,654.4448458323417,1866
311,578.8025626748398,1602
312,-151.69333082102204,152
313,905.7585844000807,2805
314,-129.45786759214536,938
315,-168.96603122620985,134
316,-155.67585488094977,106
317,-22.221969223408422,690
318,-168.7491453030284,43
319,-178.60937227580007,90
320,862.2696240659436,5178
321,-153.3157587403464,123
322,62.15211132022347,518
323,310.0652309506213,3194
324,19.66194994817414,651
325,-1.030217821787744,609
326,235.81168788679577,1176
327,-55.08002941317869,362
328,104.23734245616663,1180
329,-50.08468350381068,406
330,-153.35303406912027,48
331,540.7961266869743,1271
332,-165.61373507517516,88
333,-44.481863421223466,307
334,73.57064898830896,507
335,76.24726916181157,526
336,-175.60305165669973,60
337,5.947153170227409,506
338,7.428984913877798,352
339,953.6371220457245,2009
340,-71.34827531780047,536
341,-19.178388627730214,1437
342,-105.8444544614607,217
343,800.8737584183818,2059
344,-175.45692931983564,75
345,-57.04487495963991,343
346,943.1433174307547,3286
347,23.006158157490148,568
348,-153.10929090684544,101
349,845.5801151585938,3773
350,-173.57923646907156,71
351,-58.88017481842138,1085
352,228.15488085357492,1779
353,709.3766692806254,1819
354,675.1160471815225,1408
355,-76.71920249148012,375
356,542.3676775793294,1285
357,-125.32166425188903,335
358,-121.9052473194689,220
359,566.8737384266391,1608
360,557.97018185129,1900
361,138.4027297843166,763
362,-121.59832649878044,194
363,507.37546533579655,1910
364,439.0424226493898,2492
365,272.77074807774267,1829
366,-3.7355775722456315,418
367,-47.7627832677376,311
368,258.04584074413424,1729
369,31.129222675223758,587
370,364.3361880659214,1714
371,-111.74897383747589,235
372,-92.82038343898834,267
373,739.7760114707871,2727
374,24.80818003968659,1540
375,-32.50841376673475,437
376,-69.89229272563574,322
377,-179.18507010178672,54
378,319.7675082714485,1275
379,-105.37367521058118,371
380,-147.11691759343384,179
381,792.9997891534322,2593
382,16.836264586978984,445
383,18.581732581509897,578
384,460.9527657649395,2001
385,329.2709316025358,978
386,296.00991086918503,1401
387,557.5907385428837,1667
388,-39.8737826876488,441
389,21.149327588589216,1005
390,-127.31866376499009,135
391,-96.64843427663953,253
392,-186.3502090556937,27
393,285.97666535548916,1195
394,-195.83313590817423,21
395,943.5915227558564,1983
396,181.08805758733303,881
397,6.705747035416181,504
398,-159.46815696196862,34
399,-37.86918331941763,438
400,-103.02816853523909,291
401,97.20886293393261,469
