episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,-2.8043821382780396,0.7807692,1.436,1.5105739831924438,24.254581841640693,14.216871248364518,"[  0.9339288  37.37367    70.918686   86.87422   122.343254   78.903854
  58.725124   79.36903    78.5622   ]",16.964037917921612
2,-0.03897306393240328,0.5,1.442,13.88888931274414,20.07294929501923,19.852693606759672,"[ -0.9254063 210.69511    88.40099    53.9142     37.85001    29.179474
  24.18       21.445303   20.101223 ]",0.0
3,-1.2065498072112522,1.2149254,1.678,-1.2091898918151855,20.67851662131428,19.43423426277161,"[-0.15328667 56.254913   49.41639    31.899231   35.480198   51.952858
 56.862988   56.810703   37.42517   ]",12.36343217818051
4,0.04476715231756148,1.5,1.682,-5.952381134033203,19.60948801334952,20.33727642561832,"[ -0.85044676  24.303965   281.99872    112.10383     66.03952
  45.093884    33.76221     27.144432    23.230324  ]",0.0
5,-2.165429624893391,1.4793105,1.781,-1.1242270469665527,19.66109380412013,20.46162570786393,"[-0.392504 88.405876 42.737225 70.41349  74.17241  43.582993 37.49373
 25.789352 21.667643]",12.580835608470249
6,0.20138736192036918,1.7238094,1.944,-1.0917030572891235,26.768594614879188,13.343548545412025,"[ 0.5048038 33.19598   27.17561   37.587967  47.445915  74.96211
 65.34325   18.858252  21.360647 ]",18.6866753251265
7,-2.9327994845847636,0.50123453,2.141,9.429513931274414,14.024712484931584,26.160492136932714,"[ 0.11306231 34.113865   37.808594   36.577065   45.307865   37.696724
 48.939934   70.599884   64.20802   ]",72.4128262170509
8,-0.0010505691734886517,1.0,2.145,4.668534278869629,20.271051837847633,19.894943082651135,"[  0.1532964  25.886257   35.130905   59.108273  137.32108   110.458015
  36.053047   25.27491    21.164133 ]",0.0
9,-0.34425935309173256,1.6263158,2.194,9.1240873336792,17.021631647602753,23.187694539901294,"[ 0.14897583 20.273172   24.205902   37.478466   54.895218   64.42553
 80.07832    89.371994   52.77607   ]",92.34785564902275
10,-0.0028620124964330177,0.1,2.199,0.0,20.034422391806093,19.96379875780728,"[1.5575674e-01 3.0061771e+01 4.5167358e+01 9.3221947e+01 1.9421808e+02
 4.7696434e+01 2.8729588e+01 2.2556679e+01 2.0272966e+01]",0.0
11,-1.6535200452173657,1.2363636,2.299,-4.353504657745361,21.384843936269846,18.79441887839605,"[1.16106600e-01 2.81724606e+01 2.94127712e+01 3.75164299e+01
 7.96119843e+01 1.23633606e+02 9.89575348e+01 4.04206581e+01
 2.29867172e+01]",20.295537319059545
12,-2.9897588850360592,0.5731707,2.498,-8.022462844848633,15.360043015708158,24.736193316526833,"[-4.9086973e-02  1.3159450e+01  1.5527529e+01  1.9739124e+01
  3.7833626e+01  4.9036217e+01  7.0686989e+01  8.0657173e+01
  6.2661980e+01]",15.738198151252075
13,-1.8062938105075146,0.68571424,2.708,0.7396449446678162,23.837229987848325,16.306480013075216,"[  0.21070318  40.38572     55.723522   100.66522     88.07726
 103.23319     88.129845    50.276512    20.595196  ]",15.0993979173151
14,-3.295489423292274,0.6985508,2.931,-0.6830601096153259,21.27217545382493,18.920597850851244,"[6.0543925e-02 3.5059837e+01 5.3828842e+01 7.2466217e+01 8.1281891e+01
 6.7366234e+01 6.0553246e+01 4.1922081e+01 2.4757658e+01]",24.805388797955306
15,-2.8022362381003934,0.61736107,3.466,-0.5810575485229492,23.862502869449973,16.30462640197854,"[-0.07738994 26.38424    33.115105   51.707333   65.02127    54.51631
 44.051296   30.815365   29.712973  ]",97.58259856149046
16,-2.4380356616638696,1.0618422,3.866,2.5886616706848145,19.463391744093364,20.75368439593343,"[-6.6831522e-02  5.7109509e+01  6.0727753e+01  9.7554779e+01
  9.1625946e+01  5.0057819e+01  4.0282063e+01  3.7543606e+01
  2.4176636e+01]",67.49133555922049
17,-2.5318161906656877,1.1649351,4.197,-0.4768717288970947,16.951207186057463,23.167048466304635,"[-0.08976232 28.620022   28.739952   35.248905   65.74545    78.9981
 64.69564    48.737156   49.72796   ]",73.86778092314124
18,-10.025,0.0,4.201,2.381519317626953,19.9999999999999,20.00000000000001,"[-7.9461396e-02  2.6200184e+01  3.9380680e+01  9.8343369e+01
  2.0823311e+02  5.3390213e+01  3.3129757e+01  2.5129070e+01
  2.1475100e+01]",0.0
19,-2.8903319495911384,0.80238086,4.359,0.4626416862010956,17.826447546714995,22.292618332784986,"[-3.4555856e-02  4.0824444e+01  2.9994967e+01  6.6827698e+01
  1.0226953e+02  6.5615883e+01  4.5820263e+01  5.2088768e+01
  5.4722832e+01]",99.35768524806977
20,-2.547886174349172,0.89506173,4.78,2.1039342880249023,21.351419965355664,18.401097402161152,"[5.1058259e-02 4.8860458e+01 4.7564529e+01 9.9660042e+01 9.7209442e+01
 6.5224792e+01 4.6094936e+01 2.7655830e+01 3.0790693e+01]",14.03738006452904
21,-0.026190775276639332,1.0,4.786,0.0,19.880922472336067,20.024984394500805,"[ -0.28423133  25.352224    43.310703   163.33826     89.54726
  48.32512     33.31575     26.075607    22.262634  ]",0.0
22,-0.29238822816041626,1.2909092,4.875,4.105090141296387,24.31578744283877,15.888408091960834,"[-0.1508697 47.768566  76.46638   81.49739   42.725155  37.10565
 20.61859   18.307386  17.541546 ]",26.871020520325363
23,-4.01231582744801,0.4757009,5.366,3.727865695953369,26.618214415409266,13.714678941828792,"[ 0.06959901 38.95898    36.17434    52.530083   37.128937   24.333841
 20.011227   23.642206   34.748997  ]",19.78508861747929
24,-1.0754831220331191,2.95,5.452,-0.3669724762439728,15.35415289336854,24.707993582171895,"[  0.3216814  17.709702   21.630428   30.199038   50.99905    85.54571
 105.97896    94.79092    42.4247   ]",12.834050106185275
