episode,avg_reward,avg_v,episode_time,distance_traveled,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings,shakiness
1,-22.9012537118983,1.008628,1.254,15.948963,14.35655043291123,25.846107317076804,[0.22165206],19.952840771721732
2,-35.04395005886593,1.654038,1.277,0.74461174,17.059680307198047,23.061141580641763,[0.5986231],120.31442630751096
3,-33.87073659113146,1.1045442,1.304,9.082476,22.419729835539798,17.773747443314274,[0.26424575],15.41792303087454
4,-13.027222579899595,1.9270068,1.327,-7.081228,15.65644902414865,24.372257487824804,[1.1337715],15.335321401167752
5,-26.405556969731478,1.4307516,1.424,14.044944,15.45036048715475,24.711479361279796,[0.36971766],17.553915293511334
6,-46.17204062949406,0.7258712,1.445,13.840831,25.68468780740885,14.545598686219389,[-0.11767681],14.699819957839342
7,-32.51140259766117,1.119486,1.472,2.4089136,14.100402755418985,26.08932439852759,[-0.09546532],16.01637057267663
8,-21.50463489031609,1.5821526,1.586,-12.618297,17.115994255191143,22.993008354874945,[0.02627787],14.99735541882619
9,-21.780994341199563,1.4609585,1.613,-3.2367148,29.29662365907371,10.954023682386724,[0.06827183],20.441569245005766
10,-36.019332161287544,1.0245084,1.66,2.3749533,12.99479352605815,27.223767352866908,[0.05367619],15.720411821757223
11,0.43427568238881054,2.4090936,1.753,11.409013,27.710491992101108,12.368791616777008,[0.74719673],22.864942248080414
12,-22.69571042972446,1.6487489,1.772,1.8003213,25.029786098825614,14.975648633097608,[0.8299437],32.84923138228754
13,-7.959207954769709,2.0503547,1.786,-3.4219224,26.40136813664986,13.846148460751486,[-0.00466169],13.541723861516974
14,-41.63554226786552,0.854587,1.816,11.013216,27.796254394996414,12.32780328008917,[0.33808935],84.83018766445245
15,-26.13740585152352,1.2491405,1.908,-2.3071814,26.69996150861272,12.825583831062351,[-1.6435295],12.887765566666605
16,-39.67574728629236,0.9533874,1.928,-10.373444,16.478544520059234,23.272958302386684,[0.96490294],23.24242257654654
17,-20.39090066837143,1.2533084,1.946,10.193283,13.903048223158327,26.51796711361752,[0.05490373],14.862617692955546
18,-38.32911174166999,0.75722176,1.97,7.371134,25.993808297264437,14.116568728818597,[-0.12971102],82.76563097379713
19,-47.38923925107402,1.1680685,2.076,-9.633911,22.360354998905425,17.956329273081728,[-0.01379365],14.122251853690742
20,-50.63071688740889,0.6101791,2.104,-9.505703,13.519954728714845,26.60627921399928,[-0.06055244],84.52198624685721
21,-38.448296013892524,0.83894604,2.131,9.389671,12.60813932344674,27.64463609677213,[0.22220807],24.253889883261284
22,-30.372341904396464,1.3684663,2.224,-8.9928055,21.299754567482367,18.8098889754785,[0.08854206],32.491893055816156
23,-43.59605199975077,1.0957026,2.244,-8.912656,23.06502602871413,16.969579993554348,[0.7790988],35.936672810713
24,-13.914052628420857,1.717367,2.262,8.215508,14.701395194369143,25.439229063208764,[0.508014],111.89968217380364
25,-10.844331029763019,2.1311622,2.296,8.014871,24.760823625207866,15.312966569254549,[-0.3382381],28.73476866847917
26,-49.483187597380734,0.80290586,2.393,7.1909122,10.396683154183666,29.80236957626526,[0.45744413],15.874829230408736
27,-30.116287860618527,1.0955595,2.419,8.2678795,15.188789612902747,24.94557260006157,[0.86602396],127.6673955411597
28,-43.88263801516513,1.2171705,2.446,-0.85270286,19.406441615566543,17.339260973892294,[1.9131666],28.17639180958142
29,-27.549125858186336,1.1601117,2.54,-1.1677117,26.085089435973238,14.009040038285015,[0.38600007],18.768240839351197
30,-23.26394116183001,2.368813,2.579,-7.754944,19.951842925956896,20.160419443975652,[0.17155938],16.005978065897764
31,-48.85791134323879,0.98624146,2.628,7.61035,19.611710559061997,18.432717597184226,[-1.878163],21.504939365120944
32,-52.361732243851066,0.69885737,2.65,7.5471697,23.4247581539988,16.385113166713158,[-0.53495777],14.857575748189698
33,-22.2868925385564,1.439383,2.747,5.080415,16.786182265322935,16.823576561165222,[0.24829584],12.838141833980446
34,-8.994159990635854,2.7708166,2.772,-7.2150073,18.277017990429,21.876245518735605,[0.24887809],16.28893043392484
35,-6.518745751074951,2.9813826,2.788,-4.025203,23.208368770831864,16.93867644547777,[0.20311522],32.661607206178985
36,-21.630529813231878,1.3128353,2.886,-1.0956743,21.38771044076722,18.849120117762958,[0.03488715],30.577854014613646
37,-5.0903940392508265,2.722805,2.913,1.1204293,19.982432833805788,20.20563362252653,[-0.27414924],69.45510489760802
38,-10.835310345219398,2.560462,2.934,-4.7844625,17.939064254369576,22.2377265357342,[-0.09857161],23.166038898556558
39,-27.812880933666346,0.99872625,2.954,-0.38583022,25.257260015379007,15.084230748158358,[0.0056892],30.524264764456177
40,-34.24566286419938,1.1944804,3.055,6.5487885,22.39638140125857,17.740091890244287,[-0.1972852],15.74285179742346
41,-13.819916365325847,2.4789212,3.073,-6.508298,16.55919834876849,23.670216131282384,[0.27444175],14.761743939348582
42,-39.0365702708292,0.9386452,3.092,-5.492094,14.79768459277064,25.340362534720924,[0.01504661],102.893214004784
43,-56.8773704158487,0.6813074,3.118,2.4680235,21.46264386003461,18.73601913197389,[-0.22665837],17.718060638446158
44,-20.036427422519868,2.466551,3.222,-1.3385674,23.505756169947183,16.709833920173075,[0.02631066],15.050056732622814
45,-17.247737380620393,1.5669754,3.254,-1.6869665,18.008660204993056,22.179770999843694,[-0.21434085],13.16617878619268
46,-31.384657334224595,2.23581,3.299,-1.8682369,12.796110198619822,27.555454477405764,[-0.06928594],22.055232001105136
47,-23.910222196847176,0.89777803,3.395,1.9373062,14.237213379995039,26.079594451082293,[-0.10803171],212.65507366075454
48,-30.72425299402964,1.308481,3.417,5.2068086,18.053179573504806,22.095514533445506,[-0.3548469],18.19027932812928
49,-12.156548174432498,1.5597539,3.443,5.8088875,26.341406333590278,13.671181434558058,[0.4167831],16.419646943775575
50,-5.929095463150734,3.4024591,3.533,-2.9100094,25.94386767221988,14.357428506842718,[-0.0833862],36.02199266896378
51,-57.3367746443543,0.5465063,3.558,-2.2783988,15.746233773842812,24.44114791014483,[0.44787005],141.66075614252637
52,-24.628862995505045,1.543783,3.859,-1.5643028,16.411104181185582,23.692930961176458,[0.19315447],20.769598626665676
53,-6.4152680910165785,2.8719888,3.877,4.1064243,14.503195602314578,26.023395106880063,[0.00304624],21.294329258550587
54,-32.70345835243242,1.7872629,3.973,3.654793,23.105781484096713,17.03850451691244,[0.35316023],15.756563740987025
55,-35.97977595335931,1.5623646,3.997,-4.876823,22.120110300992685,17.976734846330505,[0.4048141],17.820771420207617
56,1.4534071260018513,4.2193007,4.022,3.1350658,19.33552011636768,20.80366639642269,[0.43305638],14.009547922126057
57,-41.256799083838764,0.7793547,4.126,-1.9004623,18.267978138660418,21.82322188619204,[0.5338963],70.37802866030574
58,-13.129810550366772,4.0255795,4.148,1.9843178,12.903168646747083,27.53091225680013,[0.07763353],16.75091706349909
59,-7.23726040950198,2.3750556,4.165,0.26346192,23.3699816507036,16.714887842919627,[0.19776654],18.1676232037555
60,-22.7942887448239,1.8844975,4.181,4.7835445,15.442359269031975,24.678590863057682,[-0.6462374],12.440378366321015
61,-12.190337707698014,1.6664057,4.29,-4.6620045,15.115989566752546,25.07714607870647,[-0.08030215],13.597212676216627
62,-2.446495245931087,3.3986554,4.325,2.4154732,23.49369235026626,16.695159150022796,[0.1495336],14.50301234313612
63,-19.726075211624284,1.4882221,4.356,4.591368,22.60116386757341,17.50603341509164,[-0.44647402],13.746373602954222
64,-24.755517002387297,1.9687248,4.494,1.4911797,26.319152547095598,14.05500701155229,[-0.35488948],95.20179560799767
65,-29.224128123513168,1.3623589,4.514,4.4306602,29.91789317543579,9.924147870743429,[-0.7293836],21.137653422256705
66,-29.012779246124435,1.4508716,4.531,-1.4535285,26.642963612306943,13.649821871291914,[-0.01848419],34.73974045722882
67,-30.912662423054844,1.7988414,4.547,-0.40648365,23.46417852374943,16.67927413876632,[-0.10666599],14.902058403658321
68,-28.30120525786528,1.6570296,4.644,-2.7003405,15.1291901772796,24.98306784187826,[0.4689755],14.729116003012859
69,-38.36595824887215,1.7488592,4.661,3.5632756,15.232680207262778,24.871020450217188,[-0.22192636],189.95636172294934
70,-31.885235749959932,1.1476425,4.679,-0.46683058,14.662171686199398,25.460640695077736,[0.47906715],97.68229158359235
71,0.3840632773177756,2.2394826,4.697,0.1759163,15.416957937410487,24.67658057406833,[0.21121775],34.99173465512391
72,-27.052197222525557,1.1817516,4.815,1.4562992,25.250123416428654,14.971258927126387,[-0.02753945],22.95668796391499
73,-26.92994443014286,1.4974027,4.839,-2.7909803,23.019665159920326,17.09737883282226,[-0.2647665],25.748981842329897
74,-4.323033759133955,1.553439,4.866,4.1101522,25.028047730521127,15.268907465329294,[-0.1002706],17.49464067652757
