episode,avg_reward,avg_v,episode_time,distance_traveled
1,-47.469003332517836,1.2563561,1.318,1.4210854715202004e-14
2,-10.253138313660356,1.4445392,1.378,1.1368683772161603e-13
3,-18.43752039028742,1.5902536,1.442,1.7053025658242404e-13
4,-31.32231667974814,1.1204205,1.511,8.03887325088147e-14
5,-35.104449232963326,1.2844956,1.675,2.3437141442005094e-13
6,-5.894785432253261,2.1686866,1.769,1.1718570721002547e-13
7,-6.185082492155414,1.9416953,1.822,2.3437141442005094e-13
8,-45.20969065692762,0.80868053,1.976,1.1637510345576668e-13
9,-2.8607642130703943,4.0141587,2.06,1.3406493254951302e-13
10,-38.61185801521536,1.4206998,2.246,1.607774650176294e-13
11,-25.696698360796262,1.4104571,2.3,3.923196792602539
12,-22.709806458049115,1.2742498,2.456,1.4210854715202004e-14
13,-24.56772210124335,1.1148951,2.504,6.262303352355957
14,-11.049768154595853,4.7036376,2.629,2.542115010249063e-13
15,-6.950109407349209,1.942358,2.837,3.5334769507046337e-13
16,-19.56658520776663,2.379696,3.001,7.361047744750977
17,-1.0241501858225313,3.7292874,3.102,2.3092638912203256e-14
18,-58.100701264480605,0.45532084,3.24,6.355287525622658e-14
19,-38.435623494983794,1.2602046,3.369,1.2710575051245315e-13
20,-21.087754626408998,2.3729157,3.468,5.936962604522705
21,-32.68307966703593,1.0369767,3.542,1.1718570721002547e-13
22,-26.220257960125362,1.3239491,3.67,7.105427357601002e-14
23,-39.77056258407207,0.9862415,3.721,2.904496669769287
24,-17.819103630718555,2.4027247,3.768,1.1718570721002547e-13
25,-36.3409261781865,0.81013274,3.912,3.694822225952521e-13
26,-37.824082360527754,1.6995101,4.077,5.684341886080802e-14
27,-19.587835224225532,2.3480048,4.125,7.1075897216796875
28,-55.245810111026145,0.52673936,4.244,1.167675981947336e-13
29,-5.951413158640448,1.7039595,4.371,2.3437141442005094e-13
30,-25.146586264815927,1.8673884,4.483,5.684341886080802e-14
31,-17.25842088218536,1.6213546,4.543,8.526512829121202e-14
32,-30.867141068413716,1.560116,4.588,5.226105690002441
33,-40.86680947729597,0.83819026,4.773,1.1718570721002547e-13
34,-47.61737280254725,0.82354915,4.884,1.2338968822384055e-13
35,-8.936094214755803,1.5005033,4.984,4.884152889251709
36,-22.109218874382886,1.4372965,5.127,1.3043830338760332e-13
37,-24.407510076522186,1.8759657,5.218,2.049518595201999e-13
38,-16.12473548846079,1.502276,5.277,1.1718570721002547e-13
39,-40.91097083617191,0.89006096,5.393,2.169192831000949e-13
40,-22.24388175592823,1.8682356,5.577,7.105427357601002e-14
41,-37.20981921042819,1.2785293,5.721,1.7053025658242404e-13
42,-58.41151909668846,0.5772429,5.907,2.2961087241604727e-13
43,-20.243850480931375,1.4862083,6.067,7.105427357601002e-15
44,-24.809074288234115,1.9092573,6.112,3.552713678800501e-14
45,-31.003948607063535,1.7192835,6.281,2.3437141442005094e-13
46,-55.42193014802342,0.54552,6.41,5.7540082931518555
47,-17.473558552038085,1.7206947,6.575,2.542115010249063e-13
48,-31.86472930490968,1.352707,6.649,5.684341886080802e-14
49,-3.94288688882918,3.4529371,6.725,1.141853403279977e-13
50,-30.77795070139368,1.2386861,6.863,8.275222778320312
51,-32.590185373048605,1.1295581,6.91,1.1368683772161603e-13
52,-38.308198991122936,0.9333483,7.013,5.672310829162598
53,-4.864716386532301,2.4893918,7.064,2.2737367544323206e-13
54,-36.96058743342798,1.0086774,7.203,2.3133594649268896e-13
55,-18.610746145391847,1.3510939,7.25,6.631153106689453
56,-19.147072610832648,1.8378797,7.328,6.521657943725586
57,-21.11314376424022,1.3022314,7.502,4.536599636077881
58,-42.910385119940315,0.85496795,7.586,6.329216480255127
59,-24.531315314842455,1.2489388,7.719,6.073918342590332
60,-35.59935059623347,1.0536517,7.897,2.9720213413238525
61,-35.4086409795027,1.6261526,8.19,6.153959274291992
62,-2.871254158596639,2.3999097,8.279,2.3437141442005094e-13
63,-47.38999120563769,0.86008734,8.331,43.52433395385742
64,0.5322036628377372,3.7908576,8.638,33.264007568359375
65,-23.29695387617394,1.4644192,8.682,1.2021618780739401e-13
66,-1.8588984906950958,5.1154,8.769,1.2710575051245315e-13
67,-41.96409988488369,1.1619292,8.822,2.2914314759883703e-13
68,-4.667586001382806,2.4436526,8.96,3.410605131648481e-13
69,-2.6296224934567016,2.026052,9.04,1.1390866548610656e-13
70,-13.94128153587562,1.7651592,9.105,2.2914314759883703e-13
71,0.812045839500808,3.978392,9.268,1.2710575051245315e-13
72,-54.30996216070982,0.8360651,9.337,3.5155713518260356e-13
73,-26.52512480174305,1.3863412,9.394,4.3616108894348145
74,-38.40565174424749,1.4633522,9.532,5.739090919494629
75,-7.878225173967412,2.1395528,9.575,3.2269952297210693
76,0.3466794381470474,2.1086922,9.62,8.028532981872559
77,-14.423838338156619,1.3289673,9.686,2.2914314759883703e-13
78,-19.80561267404403,1.8928083,9.8,5.106497764587402
79,0.5164746723570948,3.529021,9.847,5.825507640838623
80,-15.17101604163519,1.4446508,9.927,4.959842681884766
81,-37.121148372484974,0.84777904,10.072,5.255088806152344
82,-22.863765503588652,1.6897686,10.299,1.1368683772161603e-13
83,-14.013256684445386,1.7310848,10.348,6.394884621840902e-14
84,0.36059159837428434,2.2911987,10.465,5.684341886080802e-14
85,-38.46917290126963,1.2679604,10.531,2.049518595201999e-13
86,-40.61412237499357,1.2883946,10.598,2.404071569442749
87,-10.813066259944929,2.4434047,10.633,1.1368683772161603e-13
88,-19.914789718830182,1.7353594,10.795,123.36418151855469
89,0.47829868679308296,2.3514962,10.859,43.25535202026367
90,0.23600108278004137,1.6456082,10.898,3.5066094398498535
91,-6.4784584104000675,2.8959613,11.064,2.3437141442005094e-13
92,-5.135413713141751,3.3312724,11.123,2.7592489924843644e-13
93,-2.385959124785279,4.429609,11.225,8.526512829121202e-14
94,-10.333975605823488,1.9234017,11.279,2.2781733097221313e-13
95,-11.547622633993786,1.2686511,11.411,6.394884621840902e-14
96,-15.057761141521782,1.665017,11.448,1.7112135005433599e-13
97,-34.95988920321786,0.9371749,11.55,4.297027111053467
98,-5.401409278079165,1.8536599,11.71,1.2710575051245315e-13
99,-2.118199311738427,2.0923235,11.857,2.428351844694504e-13
100,-7.236152708906273,2.4255998,11.907,8.881784197001252e-14
101,0.5951664174475133,3.55644,11.978,6.88189697265625
102,-22.904035643586518,1.2932992,12.145,6.278722763061523
103,0.8031444422260092,2.2771454,12.22,2.049518595201999e-13
104,-24.442200151372266,3.5845392,12.314,1.4648213740066363e-13
105,-50.74991905660186,0.63698655,12.508,45.034324645996094
106,-6.069318648472854,2.9239874,12.582,5.977227210998535
107,0.8981077977419515,4.101171,12.639,1.696037769317627
108,-37.22397641890022,1.6319354,12.681,8.526512829121202e-14
109,-10.036263509219415,3.3519778,12.87,1.4210854715202004e-13
110,-32.96889908310519,1.2645104,12.928,4.974900245666504
111,-6.597412927043775,1.6826525,13.009,2.8501533815353253e-13
112,-5.768191631378064,1.944672,13.144,2.169192831000949e-13
113,-24.09736524102858,1.366542,13.305,1.4210854715202004e-14
114,-53.217287613746414,0.71262425,13.55,165.853759765625
115,-22.31110414197892,1.9943906,13.735,1.9328852754463277e-13
116,-15.589505126543942,1.4730933,13.817,2.2914314759883703e-13
117,-27.560520548831008,1.387394,13.865,1.4210854715202004e-13
118,-5.8234412328496825,2.447694,13.917,2.2737367544323206e-13
119,-23.234713515873246,1.8389992,14.045,1.2710575051245315e-13
120,-12.613651652573328,1.6211598,14.113,1.7053025658242404e-13
121,-19.123233238707794,2.0278347,14.195,1.607774650176294e-13
122,-9.681413002887078,2.342754,14.231,7.099989414215088
123,-10.196986948427226,4.474498,14.419,2.842170943040401e-14
