episode,avg_reward,avg_v,episode_time,distance_traveled,avg_angle,avg_distance_to_left_boundary,avg_distance_to_right_boundary,lidar_readings
1,-17.43176748518818,1.4986624,1.452,2.842171e-14,133.93070151132338,15.807310054951198,24.285284495148126,"[18.484747 22.583765 34.390408 92.9124   78.7466   76.80275  78.80154
 77.35716 ]"
2,-35.89450074686987,0.906111,1.638,2.2737368e-13,111.41888066286184,13.312097255086234,26.83634573996366,"[14.136936 16.901894 22.00186  36.737717 85.20302  83.15884  77.6565
 57.57956 ]"
3,-18.27100571013769,2.8772562,1.807,1.7053026e-13,231.49417171014207,26.267069677619027,13.922797103505609,"[42.61683  45.555073 59.40769  70.68443  86.61867  60.268166 42.065292
 35.922256]"
4,-38.20372439861873,1.0186888,2.088,3.8657706e-13,189.5944427708774,24.19827757358318,16.05062991205392,"[46.54062  58.621876 54.722107 62.175358 54.090607 48.24619  41.110176
 52.4699  ]"
5,-16.47431834880261,1.9234831,2.159,1.2710575e-13,132.2753458829567,27.766141186149177,13.003233115164319,"[ 78.432045  85.93021  159.25021   79.91501   35.861332  25.870247
  15.715947  13.553462]"
6,-33.115588632172255,0.89942384,2.231,2.542115e-13,165.36109308641224,28.358411307072394,11.769584048476883,"[102.335236  69.92832   52.994087  40.768364  27.65193   13.916851
  12.561242  13.120528]"
7,-23.71128753579797,0.9823626,2.306,2.0495186e-13,287.28788441362843,28.711793379137184,11.50826844460011,"[66.11017  47.27337  37.63468  29.45109  36.824924 17.941212 23.299137
 40.32042 ]"
8,-21.54753499483309,1.3681804,2.433,1.1368684e-13,67.05947002516619,13.502219710403796,26.845604892258997,"[ 14.350493  16.106627  20.888723  56.13254  131.92946   75.22329
  89.83364   68.47284 ]"
9,-13.032743531702812,3.0764494,2.537,4.2632564e-14,106.89914312163017,19.716195680923775,20.37944286480753,"[ 22.966213  29.01003   36.690956  55.113903  63.609177  82.68957
 101.67581   59.87288 ]"
10,-67.48603236277519,0.8046235,2.622,1.6077747e-13,88.4664183691999,23.081418180258595,17.021630228147934,"[110.68458   84.2257    61.208073  55.87726   51.9398    25.058516
  19.839523  18.574564]"
11,-37.385288648468915,0.8794933,2.726,5.498506,115.91347393369173,25.6750993662192,14.540988708364383,"[ 60.457603  72.84338  104.91389   96.89593   47.553444  21.285908
  16.646255  15.315199]"
12,-40.13346926191913,0.6047739,2.893,1.6077747e-13,134.1774711007024,25.809882783268623,14.3886068388595,"[56.91524  36.560017 32.6343   39.710484 29.416735 32.170444 17.72997
 18.583391]"
13,-42.4616322458786,1.3004028,2.949,3.0611117e-13,119.04339502353427,17.731869003998355,22.352367665769243,"[ 18.103527  20.983513  25.393427  36.84626   73.39375   81.35033
  89.12748  113.8202  ]"
14,-17.36856898717395,2.209725,3.001,1.4210855e-13,135.34545025516385,14.35811061373623,25.81514130669885,"[ 12.458941  15.783708  18.772196  26.89398   50.117783  42.381107
  75.20497  145.65582 ]"
15,-13.915572282387632,1.7065487,3.124,2.542115e-13,168.5037227334283,15.124171416737116,23.76668557669344,"[15.584004 18.412977 22.612782 44.552452 77.64709  64.91328  73.94561
 47.27691 ]"
16,-14.730961677020181,1.4649684,3.196,2.3133595e-13,160.91973550000142,13.486579093339667,19.28209444682662,"[13.987066 15.172707 17.988235 25.731043 57.02129  60.79311  98.05324
 66.906044]"
17,-27.441803266957724,1.8169016,3.294,1.8198774e-13,163.37685468471398,20.82910513519563,19.435730267886782,"[32.98196  36.881744 41.016865 57.772156 54.27198  64.47436  71.939545
 62.061413]"
18,-37.30777229575113,1.0031643,3.441,2.2781733e-13,102.80390238577745,9.085299812483708,31.986254095315207,"[12.104518 11.156998 14.080169 23.754148 21.370916 40.94528  52.51677
 51.93596 ]"
19,-42.7610925414869,0.9443278,3.579,1.1457157e-13,133.84704009726246,17.019015923945435,23.271365492505083,"[ 19.826063  25.831776  56.800217  93.95403  126.87619   86.408745
  81.308464  56.71671 ]"
20,-18.992868218227173,3.014769,3.694,1.1910866e-13,267.17296247312265,23.78925161113777,16.44311771610582,"[50.252014 55.745388 50.319416 54.66906  65.40818  55.554935 41.842438
 33.046078]"
21,-8.062099509970956,2.2755148,3.824,1.5106346e-13,105.56115066485222,19.343008024464595,20.75739938979385,"[24.09748  30.12674  51.860985 72.12242  63.691124 61.186085 62.26299
 48.38953 ]"
22,-17.98151979540812,1.7667713,3.927,3.9974422,78.96775720632468,14.232101829736218,23.389434360659607,"[12.391682 10.756104 18.242239 57.502087 39.08689  23.086048 23.268152
 28.90316 ]"
23,1.0944162811909819,3.6660926,4.021,1.6077747e-13,89.43443250291466,19.391151040565788,20.85078001926843,"[ 31.550558  61.581093 101.03704   93.284805 105.90407   69.98385
  40.929222  27.151337]"
24,-17.139851027198763,1.2308187,4.186,3.642528e-13,109.61471624736578,27.12880377860885,13.266699813448454,"[82.8055   97.83457  81.23     40.855957 62.575172 42.585106 27.894337
 13.744861]"
25,-20.91499045650933,3.1269526,4.282,1.5106346e-13,53.352895516209195,18.801342328778013,21.29175279213515,"[24.397305 34.07904  59.04129  87.38437  81.757675 82.19926  62.253876
 37.784798]"
26,-26.92591325933304,1.1858577,4.408,7.8720737,217.09275982545907,16.917149410931412,23.16758435624052,"[47.325397 41.26193  33.49236  27.84778  27.96337  36.11558  59.184513
 62.723278]"
27,-9.519177856710636,2.1005614,4.451,3.6705441,180.0582228504067,24.868176174501507,15.245872198854396,"[56.215736 61.079742 52.35805  42.561737 56.33776  45.54762  21.077091
 18.122114]"
28,-21.523279126538075,1.7620789,4.609,97.442795,167.38008457251416,16.349505814276625,23.732809577940323,"[35.790886 41.137867 65.67879  65.30596  73.71696  82.848015 65.38147
 36.172432]"
29,-52.65248739205386,0.6225903,4.787,1.1374234e-13,169.9209679560511,11.75118364100782,28.392883836327336,"[ 14.2729025  13.867576   15.427831   19.339182   34.417084   61.700977
 134.12402   145.92207  ]"
30,-42.899043680471266,0.75196725,4.872,2.1090077e-13,160.9607837418476,26.659758391517503,13.43896603412663,"[59.916515 43.086594 42.426228 28.588636 21.63739  16.827856 14.911313
 14.320398]"
31,-34.236611750621485,0.85205245,5.098,1.6077747e-13,100.3347104422095,24.275193064962153,15.84866843163835,"[ 62.516865  80.34412   73.69764  103.3611    87.755066  56.002975
  24.101833  18.986181]"
32,-45.90341806282654,1.4000454,5.327,66.052284,108.37037499065802,15.267133962822932,25.04495370230862,"[18.248894 18.29267  24.73542  44.15187  72.52667  81.10741  70.603546
 56.164425]"
33,-15.231172583213407,1.4774435,5.377,7.4079943,111.22400431082745,14.628636481563904,25.3204811060141,"[19.844006 18.184292 19.23384  41.179775 48.07625  45.29431  53.856575
 57.894897]"
34,-10.028761496259492,2.6054013,5.452,1.1368684e-13,85.11195952815136,14.608120946512972,25.658864401117246,"[ 16.255453  19.34996   41.541603 101.12428  128.14174  102.999084
  53.626537  35.969826]"
35,-28.089839564572316,0.93155396,5.572,1.1457157e-13,94.31229120599289,14.744729682469613,25.623719057809847,"[26.978292 18.734278 18.476913 22.63147  34.476044 34.63953  32.62235
 32.478027]"
36,-38.99369140726613,1.1178598,5.659,4.2632564e-14,172.3915931130125,24.88164343139772,15.136809085032453,"[46.908566 37.664158 30.24085  27.686901 55.927418 86.304634 78.476585
 64.38606 ]"
37,-18.632546722182347,2.1657054,5.741,1.9895197e-13,107.78103640862496,14.674053372155873,23.576955552375864,"[ 46.94558   83.21295   92.30239  107.732605  58.623135  47.96346
  61.07596   63.940617]"
38,-31.74946826792611,1.0425909,5.925,1.2079227e-13,76.00677087479619,24.31203333429197,15.78541695416638,"[ 59.29491  120.01045  110.83778   77.50915   37.663795  24.172544
  18.50622   31.749321]"
39,-48.76890125420026,0.8385208,6.187,26.27905,131.99068118105083,10.612683586115054,29.64903664993135,"[67.101715 57.999104 45.721333 38.518105 57.019634 60.63324  50.797993
 39.305782]"
40,-38.711597338999525,1.0467929,6.24,1.6077747e-13,118.97812931353101,16.531473865134164,23.62888128025653,"[ 17.898232  18.538952  21.30624   29.42976   49.425907  86.58589
 101.06734   63.336926]"
41,-28.76038500818608,1.751556,6.304,44.30655,77.82473583996178,15.715248029114434,24.38540228982254,"[ 15.835728  18.598341  23.53878   44.130966  49.563126  60.058136
  85.858955 112.41004 ]"
42,-44.12691100699525,1.5215994,6.489,1.1390867e-13,116.61126352206769,17.11630900680066,23.06376915867601,"[ 19.690485  24.925245  42.565495  81.88332  110.7555   109.883484
 112.27179   44.146557]"
43,-42.93310535339124,0.874397,6.577,1.6077747e-13,206.50191577899676,14.189703734100016,26.03899111778071,"[90.22059  69.80945  46.464153 31.91603  33.150772 50.089214 27.949144
 27.911602]"
44,-33.30470655555581,0.9275011,6.689,1.6077747e-13,101.24968638529916,16.680383361804363,23.388778162413498,"[20.62468  22.996567 28.281513 37.12835  45.769882 69.02149  71.48332
 72.72319 ]"
45,-26.92313351352019,1.2259564,6.847,1.1600848e-13,79.49269368220745,10.412523839676725,29.86370640547135,"[10.286122 11.317128 13.091834 17.970476 28.619959 28.118141 51.738266
 74.05659 ]"
46,-9.974371904567912,1.5328989,6.909,2.542115e-13,141.08006458699327,17.408027502062623,22.719830377461978,"[22.448397 29.538054 45.95757  51.303844 59.04491  57.599655 52.856018
 55.713688]"
47,-20.97782054435026,1.8853714,6.956,5.684342e-14,95.03075232101898,15.880545702912277,24.542133300267647,"[17.772339 25.395826 31.148363 32.49959  46.708435 78.98942  79.116936
 45.04659 ]"
48,-17.78738662257915,1.96363,6.991,8.038873e-14,170.41378788883353,25.396743149018995,14.856061924817176,"[70.48422  51.26689  36.38411  40.089077 59.588234 22.787914 17.634521
 16.454512]"
49,-53.00584963570341,1.0264562,7.157,1.1368684e-13,109.14027822738493,20.350644977936447,19.76509485783975,"[80.837776 64.95484  72.17855  59.06658  41.16011  41.960594 44.99904
 64.19807 ]"
50,-18.543111455067766,2.2060413,7.211,4.680311,72.65158526556503,17.41677989238037,22.710126436599026,"[19.24423  23.588112 29.59316  41.052883 44.050293 45.535393 53.37281
 43.684162]"
51,-15.275951966383682,2.901084,7.396,1.6077747e-13,69.16519805244586,22.74382340505207,17.357887102859436,"[44.512173 44.221222 48.791702 54.059948 60.360916 59.663826 48.266617
 37.963757]"
52,-23.545254158948904,1.5520505,7.574,24.323069,79.3362737968755,14.96083034397106,25.176037598713563,"[32.943367 39.141254 38.58542  57.61751  63.63673  46.417927 50.308697
 62.44798 ]"
53,-7.913199921556814,3.207105,7.616,1.3406493e-13,215.58268147925298,12.316103780499901,28.18680766571046,"[12.765502 14.174872 17.926737 26.635569 43.44914  68.898346 95.490814
 94.53103 ]"
54,-28.165714272965616,1.622067,7.694,3.5950935e-13,92.68992800049226,23.578784688528412,16.613422746438623,"[31.87152  39.782936 43.959953 54.988594 73.95951  68.00008  46.79771
 26.526352]"
55,-40.318127982551665,1.4272395,7.911,1.2710575e-13,182.73926361779135,18.842407752162284,21.481535080539526,"[ 21.144058  25.668142  39.974583  68.819725 129.55943  103.55136
  77.53822   47.5452  ]"
56,-29.367961811393727,1.7391586,8.155,1.1368684e-13,146.80235155790626,18.848733066246353,21.382124280621397,"[72.57308  63.712685 67.13388  72.22576  86.517815 81.785934 70.78204
 42.378006]"
57,-3.7257952012016533,1.9371452,8.223,7.865426,140.28271228422597,17.69282916688987,22.46609222984418,"[21.94047  25.137253 34.583656 57.67386  95.75151  59.35719  35.417763
 43.13718 ]"
58,-56.373209428942054,0.8931444,8.375,5.0577965,95.72129004256759,23.210475031628057,16.84018626173209,"[42.04604  40.02148  33.169975 33.37634  39.208298 24.433588 28.924173
 53.183086]"
